from,to
4,5
24,20
7,40
4,5
16,17
36,37
0,42
7,44
24,20
7,26
19,20
11,189
4,5
7,68
190,191
192,193
194,146
13,14
4,5
0,21
7,40
16,17
22,23
7,34
6,5
24,20
0,46
73,195
7,40
73,196
7,79
13,14
24,20
0,42
19,20
13,14
13,14
7,8
197,198
0,35
73,199
200,201
16,17
73,202
24,20
7,68
7,44
182,58
73,203
7,26
0,21
204,205
0,1
206,201
207,208
13,14
7,68
24,20
182,185
7,8
6,5
16,17
4,5
0,46
71,209
99,23
97,98
100,23
210,211
0,1
4,5
24,20
7,34
24,20
19,20
7,8
210,140
52,53
19,20
0,31
7,40
73,212
13,14
19,20
7,8
24,20
16,17
0,1
73,213
7,38
4,5
7,15
73,214
24,20
4,5
7,8
73,215
216,217
218,219
7,40
0,1
13,14
13,14
7,34
19,20
24,20
16,17
7,18
19,20
4,5
7,40
0,1
36,37
220,221
7,68
220,221
0,42
220,221
6,5
7,18
220,221
13,14
24,20
4,5
7,15
82,83
7,79
220,221
16,17
4,5
22,23
24,20
19,20
24,20
24,20
27,28
7,8
7,38
36,43
13,14
222,223
7,44
16,17
7,8
0,84
36,37
6,5
7,38
4,5
7,44
4,5
0,42
0,35
13,14
7,8
24,20
4,5
7,38
24,20
19,20
19,20
24,20
7,68
0,46
224,225
7,60
7,38
7,79
13,14
4,5
7,18
36,43
7,15
0,1
7,44
22,23
0,42
19,20
7,60
24,20
19,20
7,34
0,1
19,20
13,14
24,20
36,43
6,5
16,17
4,5
7,15
0,21
24,20
7,44
7,60
99,23
97,98
100,23
7,15
13,14
13,14
0,42
24,20
7,44
16,17
19,20
7,34
4,5
76,77
101,102
7,68
0,21
225,226
4,5
192,227
7,44
7,38
13,14
226,109
7,15
0,21
13,14
228,229
105,58
7,34
4,5
192,138
7,68
24,20
230,229
19,20
231,232
4,5
7,38
13,14
7,44
13,14
233,136
7,40
36,43
22,23
7,79
0,42
7,8
4,5
7,40
192,146
22,23
19,20
4,5
24,20
13,14
7,26
16,17
19,20
0,31
4,5
7,15
0,35
52,53
4,5
7,18
0,31
36,37
234,229
4,5
13,14
7,44
16,17
7,18
0,31
36,37
19,20
235,229
22,23
24,20
7,38
7,26
0,1
7,8
19,20
24,20
27,28
36,43
99,23
97,98
100,23
13,14
27,28
236,229
0,31
4,5
7,15
4,5
0,46
13,14
237,238
6,5
36,37
27,28
0,31
7,15
0,42
24,20
4,5
0,31
239,229
7,40
240,232
13,14
24,20
241,242
7,68
19,20
0,21
7,26
7,18
243,232
24,20
0,35
7,15
244,245
4,5
36,43
7,18
13,14
4,5
13,14
85,217
24,20
244,246
0,42
244,246
7,79
16,17
19,20
99,23
100,23
97,98
7,18
36,43
192,136
247,146
24,20
19,20
244,248
0,1
244,248
7,15
19,20
6,5
13,14
4,5
7,18
13,14
0,46
7,15
16,17
7,8
7,34
24,20
7,68
0,84
7,44
19,20
24,20
4,5
13,14
16,17
4,5
24,20
7,68
7,44
24,20
36,43
249,229
7,68
0,42
97,98
100,23
99,23
24,20
13,14
4,5
13,14
250,229
19,20
0,31
95,96
7,15
19,20
36,43
24,20
76,77
4,5
101,102
19,20
7,68
13,14
24,20
7,8
13,14
251,229
7,38
4,5
7,60
57,58
252,253
0,35
13,14
54,55
19,20
36,37
76,77
101,102
24,20
13,14
4,5
7,8
7,34
16,17
0,21
252,253
19,20
7,60
0,31
254,229
24,20
4,5
7,40
13,14
252,253
247,140
7,15
4,5
13,14
36,37
19,20
4,5
22,23
0,35
7,40
7,44
0,46
27,28
255,229
252,253
247,256
24,20
36,43
27,28
210,257
258,259
7,40
13,14
0,46
247,140
260,229
7,60
82,83
36,37
2,261
252,253
27,28
16,17
11,262
7,79
252,253
7,15
36,43
76,77
101,102
7,60
4,5
19,20
99,23
100,23
252,253
97,98
7,40
19,20
13,14
11,263
0,46
252,253
247,140
7,60
19,20
264,229
24,20
265,146
0,21
161,266
0,46
7,26
4,5
2,267
268,229
7,18
7,38
0,31
105,58
13,14
11,269
252,253
7,68
247,146
82,83
19,20
36,37
4,5
252,253
22,23
270,229
7,38
4,5
252,253
24,20
7,68
6,5
105,58
52,53
0,46
36,43
271,229
19,20
252,253
0,1
13,14
105,58
252,253
7,68
36,43
16,17
0,46
11,272
105,58
71,273
274,275
276,229
4,5
19,20
7,79
105,58
252,253
0,1
105,58
7,68
105,58
22,23
54,55
0,46
11,277
13,14
105,58
265,278
169,170
0,84
7,18
279,229
0,21
7,79
11,280
169,170
252,253
13,14
24,20
7,44
169,170
19,20
11,281
0,46
169,282
11,283
252,253
284,229
169,285
7,18
0,31
7,79
0,1
169,286
105,58
169,287
7,44
11,288
4,5
0,46
11,289
169,290
7,34
291,229
0,84
13,14
19,20
54,55
252,253
19,20
11,292
7,79
115,116
0,42
16,17
7,44
115,116
252,253
259,258
19,20
0,46
24,20
293,229
7,34
11,294
19,20
0,42
97,98
13,14
7,44
19,20
100,23
99,23
13,14
252,253
24,20
105,58
0,46
6,5
295,229
4,5
7,34
13,14
105,58
115,116
54,55
0,42
247,146
105,58
7,44
36,43
0,46
19,20
7,38
24,20
19,20
252,253
36,37
0,42
7,44
13,14
24,20
7,18
4,5
0,46
73,296
252,253
16,17
16,17
36,43
7,26
24,20
0,42
24,20
252,253
0,84
4,5
0,35
6,5
244,245
105,58
7,68
13,14
0,42
297,298
299,300
7,8
301,126
302,300
24,20
303,232
304,126
305,126
306,307
308,126
125,126
301,126
0,46
13,14
304,126
305,126
308,126
125,126
301,126
304,126
305,126
308,126
125,126
301,126
304,126
305,126
308,126
125,126
301,126
305,126
308,126
125,126
252,253
73,309
7,79
310,298
16,17
311,312
7,15
27,28
313,314
19,20
24,20
0,42
4,5
7,8
252,253
315,316
4,5
7,40
22,23
73,317
7,15
24,20
13,14
24,20
13,14
0,42
73,318
27,28
220,221
252,253
7,8
220,221
0,1
16,17
73,319
71,72
7,40
252,253
73,320
6,5
73,321
252,253
73,322
24,20
7,44
13,14
32,323
252,253
24,20
324,131
16,17
101,102
7,79
76,77
0,35
19,20
6,5
4,5
252,253
7,26
24,20
7,18
0,31
252,253
97,98
7,79
100,23
0,1
99,23
13,14
36,37
7,44
252,253
47,48
0,46
7,60
16,17
252,253
22,23
19,20
24,20
325,146
0,35
19,20
24,20
7,26
4,5
0,84
325,140
7,18
252,253
19,20
13,14
0,35
326,146
13,14
141,142
32,327
252,253
16,17
32,328
24,20
0,35
7,38
7,44
252,253
4,5
7,40
252,253
13,14
7,38
4,5
19,20
19,20
16,17
7,44
4,5
71,147
99,23
97,98
100,23
252,253
0,35
7,15
22,23
7,18
252,253
6,5
24,20
13,14
252,253
7,40
0,35
7,38
13,14
19,20
4,5
32,327
101,102
76,77
0,42
7,34
19,20
24,20
329,330
19,20
331,131
7,60
0,84
13,14
0,1
13,14
4,5
24,20
252,253
16,17
7,68
252,253
0,21
6,5
36,43
7,44
24,20
4,5
7,60
331,58
13,14
7,40
24,20
19,20
7,15
19,20
24,20
252,253
16,17
16,17
22,23
331,58
7,60
4,5
252,253
332,333
7,40
24,20
19,20
252,253
334,335
36,43
7,34
13,14
4,5
0,31
80,336
13,14
7,40
252,253
24,20
16,17
7,26
36,37
0,46
252,253
0,35
19,20
7,8
27,28
4,5
24,20
24,20
27,28
7,38
13,14
252,253
27,28
0,42
24,20
13,14
27,28
19,20
32,327
6,5
7,38
4,5
7,44
36,43
252,253
100,23
99,23
97,98
32,328
252,253
22,23
7,38
36,37
0,21
19,20
13,14
0,46
7,34
4,5
13,14
0,35
7,18
252,253
6,5
16,17
252,253
7,44
36,43
334,109
7,68
19,20
4,5
7,40
36,37
0,21
13,14
6,5
7,60
16,17
19,20
22,23
4,5
7,44
7,18
6,5
7,26
0,21
7,79
13,14
16,17
7,15
19,20
0,21
4,5
7,68
0,1
24,20
13,14
36,37
19,20
13,14
19,20
7,60
4,5
24,20
16,17
0,46
7,15
24,20
337,316
7,44
337,316
338,339
6,5
19,20
0,1
7,8
19,20
4,5
13,14
13,14
244,340
16,17
341,342
338,58
76,77
4,5
101,102
0,31
343,58
344,345
19,20
24,20
0,46
52,53
7,60
36,43
0,1
13,14
7,79
16,17
346,347
338,58
36,37
343,136
348,146
4,5
0,31
0,35
348,211
7,44
338,58
115,116
7,18
13,14
101,102
349,146
7,34
16,17
24,20
7,68
4,5
115,116
0,1
7,38
19,20
0,21
36,37
7,60
36,43
19,20
13,14
338,58
0,1
27,28
0,31
350,112
16,17
4,5
19,20
22,23
0,35
82,83
24,20
36,43
338,58
0,1
24,20
7,40
351,146
19,20
7,26
27,28
7,68
352,353
354,211
7,15
13,14
7,40
141,142
4,5
16,17
7,34
71,355
7,60
19,20
7,79
24,20
0,21
6,5
4,5
36,37
7,68
24,20
13,14
13,14
19,20
24,20
4,5
19,20
16,17
7,79
0,21
36,37
7,44
19,20
24,20
36,43
7,38
6,5
0,31
356,211
19,20
13,14
4,5
357,358
36,37
7,44
4,5
7,18
13,14
19,20
36,43
7,38
0,1
0,21
7,68
36,37
24,20
19,20
7,18
36,43
0,84
7,40
0,21
19,20
24,20
36,37
13,14
7,68
4,5
7,15
36,43
2,359
0,31
4,5
16,17
71,360
0,35
361,219
11,362
36,37
7,68
363,364
7,15
365,131
97,98
100,23
99,23
2,366
24,20
13,14
367,146
36,37
24,20
11,368
24,20
4,5
16,17
11,369
370,112
36,37
7,68
2,371
36,43
11,372
19,20
4,5
13,14
7,44
0,42
7,18
7,26
24,20
19,20
52,53
7,60
36,37
4,5
19,20
7,15
13,14
0,1
36,43
11,373
0,21
6,5
13,14
11,374
16,17
7,8
71,273
97,98
100,23
4,5
7,26
0,46
7,68
36,37
0,31
7,38
13,14
19,20
11,375
24,20
0,35
16,17
4,5
7,34
36,43
376,136
7,40
11,377
11,378
36,37
13,14
4,5
24,20
379,58
380,146
4,5
16,17
0,42
24,20
169,170
7,68
36,37
22,23
169,170
0,1
24,20
7,38
169,170
19,20
0,21
169,170
0,46
27,28
27,28
169,170
13,14
36,37
7,18
380,134
0,31
7,40
13,14
169,172
11,381
169,285
16,17
19,20
19,20
11,382
169,383
7,15
0,84
52,53
110,58
57,58
36,43
220,211
7,40
73,384
24,20
73,385
7,8
0,1
19,20
73,386
13,14
13,14
36,43
24,20
4,5
387,146
388,211
4,5
6,5
0,31
36,43
7,44
0,46
13,14
7,18
389,88
380,131
110,58
73,390
52,53
13,14
24,20
7,79
0,21
244,391
244,391
4,5
73,392
7,68
19,20
4,5
24,20
73,393
7,26
36,43
22,23
13,14
19,20
0,42
4,5
7,44
73,394
4,5
13,14
73,395
19,20
396,397
19,20
4,5
73,398
376,109
36,37
7,15
24,20
7,40
389,198
0,35
73,399
400,211
0,42
13,14
19,20
6,5
24,20
56,55
36,37
7,15
16,17
54,55
7,79
82,83
401,193
0,46
24,20
7,34
402,58
4,5
376,136
7,38
36,37
4,5
7,40
0,21
97,98
100,23
99,23
19,20
13,14
401,193
7,60
13,14
0,84
7,18
16,17
7,26
82,83
22,23
24,20
19,20
4,5
401,403
7,68
19,20
19,20
36,37
7,38
0,21
401,185
404,146
405,406
407,408
409,410
7,60
13,14
411,412
413,414
415,416
417,418
13,14
419,146
0,1
420,421
422,423
424,425
141,142
426,427
428,429
36,37
430,431
432,433
7,8
434,435
436,437
16,17
19,20
438,439
0,21
440,441
442,443
444,445
446,447
24,20
448,449
450,451
452,453
24,20
454,455
7,44
4,5
456,457
458,459
460,461
462,146
0,84
463,464
465,466
467,468
469,470
401,471
6,5
472,473
4,5
36,37
24,20
474,475
476,477
478,479
480,481
419,94
13,14
482,483
7,26
484,485
486,487
488,489
490,491
492,493
76,77
101,102
494,495
496,497
462,211
7,60
498,499
500,501
235,502
234,503
236,504
239,505
506,507
508,509
7,18
510,511
100,23
7,38
36,37
401,512
513,514
7,26
515,146
255,516
260,517
518,519
7,60
7,18
36,37
520,521
7,38
7,26
4,5
13,14
27,28
13,14
313,314
24,20
4,5
16,17
19,20
36,37
520,217
7,26
522,485
19,20
523,114
27,28
7,68
523,58
36,37
7,79
13,14
7,26
515,211
524,485
401,185
16,17
7,18
7,15
36,37
4,5
7,26
520,109
36,43
4,5
100,23
525,485
97,98
19,20
99,23
520,198
13,14
7,18
64,65
4,5
7,38
526,485
13,14
19,20
6,5
7,44
36,43
24,20
7,68
76,77
527,146
7,38
101,102
19,20
401,223
7,44
36,43
528,485
7,18
4,5
401,136
13,14
7,38
24,20
24,20
7,44
36,43
529,485
19,20
0,84
16,17
7,18
19,20
7,38
7,26
0,1
530,146
36,43
6,5
13,14
401,58
7,18
19,20
7,38
16,17
97,98
100,23
0,84
99,23
36,43
4,5
4,5
7,79
24,20
13,14
4,5
0,1
24,20
7,44
36,43
531,211
7,15
13,14
7,38
16,17
0,46
7,44
36,43
19,20
532,485
7,15
533,485
7,38
6,5
76,77
4,5
101,102
0,42
36,43
13,14
534,535
4,5
19,20
7,15
32,536
0,21
32,537
7,38
0,31
22,23
24,20
7,15
0,35
538,211
0,46
13,14
7,79
539,485
534,114
36,43
7,68
13,14
24,20
7,8
540,541
0,21
16,17
0,42
7,26
6,5
542,485
36,43
19,20
4,5
7,68
24,20
7,8
4,5
0,35
7,79
13,14
36,43
7,18
543,485
4,5
19,20
24,20
36,37
7,40
0,84
7,38
544,211
0,42
36,37
19,20
7,26
24,20
19,20
24,20
7,18
4,5
16,17
545,146
27,28
7,8
100,23
97,98
99,23
7,40
4,5
0,42
27,28
36,37
7,15
19,20
13,14
0,31
546,146
7,40
27,28
36,37
101,102
76,77
13,14
24,20
7,18
19,20
7,68
547,535
7,40
0,42
548,146
549,58
550,521
36,37
548,146
548,146
4,5
7,34
4,5
6,5
0,35
19,20
7,40
13,14
36,37
52,53
24,20
7,60
19,20
16,17
551,485
7,15
0,21
7,40
82,83
36,37
547,552
7,34
100,23
99,23
97,98
19,20
13,14
4,5
13,14
0,35
169,553
169,554
4,5
7,40
16,17
169,170
555,556
7,60
22,23
7,18
169,170
169,170
7,68
0,46
169,170
7,79
19,20
557,485
7,34
558,146
559,485
13,14
24,20
0,31
7,79
16,17
36,37
558,211
560,485
0,1
561,485
169,173
4,5
71,355
7,34
19,20
562,298
563,485
7,8
564,565
305,126
125,126
169,383
119,120
566,485
0,31
4,5
169,179
24,20
7,79
0,84
36,37
24,20
567,112
568,485
7,18
569,485
19,20
567,112
0,46
13,14
570,485
16,17
564,565
19,20
71,147
97,98
101,102
567,112
76,77
100,23
99,23
4,5
36,43
571,217
82,83
7,68
0,31
572,485
7,40
36,37
22,23
573,485
19,20
574,485
7,15
36,43
4,5
575,485
13,14
576,109
19,20
0,42
6,5
0,84
16,17
24,20
71,148
19,20
0,46
564,565
7,8
19,20
54,55
56,55
4,5
24,20
110,58
52,53
56,55
577,485
567,112
54,55
103,104
105,58
105,58
57,58
578,485
57,58
105,58
567,112
52,53
7,15
36,43
579,485
111,112
0,42
580,485
16,17
0,84
564,565
581,485
4,5
119,120
115,116
564,565
582,583
24,20
7,34
36,43
24,20
19,20
7,15
0,21
105,58
567,112
7,38
0,42
57,58
103,104
105,58
584,298
57,58
105,58
567,112
2,585
105,58
105,58
52,53
57,58
110,58
6,5
19,20
105,58
7,34
13,14
117,118
11,586
7,15
103,104
111,112
567,112
57,58
0,21
105,58
36,43
564,565
301,126
308,126
11,587
7,38
16,17
105,58
567,112
105,58
2,588
7,34
0,46
567,112
7,8
36,43
7,68
564,565
4,5
24,20
13,14
27,28
11,589
19,20
567,112
11,590
7,18
27,28
161,591
13,14
567,112
7,26
592,591
0,42
2,593
7,40
27,28
564,565
4,5
11,594
36,37
24,20
564,565
0,46
7,15
13,14
24,20
7,68
0,84
567,112
13,14
13,14
7,18
4,5
16,17
564,565
567,112
36,43
24,20
7,79
19,20
11,595
596,112
111,112
4,5
19,20
0,84
567,112
597,598
125,126
305,126
7,18
22,23
19,20
36,43
11,599
19,20
13,14
564,565
132,83
7,79
24,20
0,84
7,34
16,17
71,184
11,600
564,565
24,20
7,38
7,68
11,601
4,5
7,40
119,120
602,140
603,604
0,84
7,18
111,112
115,116
19,20
4,5
24,20
305,126
125,126
313,314
57,58
304,126
605,300
13,14
602,88
308,126
301,126
305,126
125,126
564,565
119,120
7,79
301,126
4,5
0,1
7,44
117,118
4,5
564,565
36,37
16,17
11,606
7,8
22,23
564,565
6,5
11,607
220,136
0,42
7,79
19,20
24,20
47,48
11,608
4,5
7,15
0,21
97,98
99,23
220,211
100,23
11,609
0,42
13,14
4,5
36,43
105,58
11,610
115,116
220,611
54,55
16,17
115,116
11,612
564,565
11,613
24,20
36,43
7,60
4,5
564,565
7,15
13,14
19,20
24,20
567,112
36,43
7,68
16,17
7,40
16,17
7,60
567,112
71,614
550,242
7,15
36,43
564,565
7,68
57,58
7,44
0,1
13,14
244,245
0,21
73,615
567,112
4,5
564,565
7,15
73,616
6,5
36,43
13,14
4,5
7,68
0,84
7,44
617,256
0,35
617,58
19,20
564,565
7,15
0,31
24,20
567,112
7,79
24,20
22,23
618,278
13,14
4,5
7,18
36,37
619,58
13,14
7,38
24,20
564,565
0,84
7,60
0,21
620,170
564,565
24,20
619,131
36,43
621,146
6,5
550,242
4,5
13,14
620,131
7,18
567,112
13,14
24,20
19,20
24,20
617,136
7,79
567,112
16,17
622,146
620,58
7,26
73,623
567,112
564,565
620,58
567,112
7,79
100,23
97,98
99,23
13,14
24,20
620,58
7,60
7,18
564,565
567,112
47,48
4,5
620,58
16,17
564,565
19,20
22,23
4,5
7,40
19,20
24,20
567,112
0,84
624,94
27,28
0,21
57,58
619,134
52,53
625,58
19,20
567,112
564,565
57,58
36,37
27,28
82,83
7,15
0,31
564,565
7,68
13,14
27,28
567,112
0,1
7,40
13,14
7,60
141,142
567,112
36,37
16,17
7,38
567,112
564,565
24,20
7,40
19,20
4,5
564,565
7,26
57,58
4,5
7,68
24,20
19,20
57,58
7,79
0,1
13,14
564,565
7,44
567,112
7,26
0,42
36,37
564,565
4,5
0,35
7,40
24,20
7,60
22,23
564,565
7,38
567,112
618,278
24,20
13,14
564,565
36,43
7,40
16,17
7,8
19,20
24,20
36,37
19,20
22,23
7,38
564,565
0,84
36,43
626,146
7,40
24,20
564,565
627,131
7,8
36,37
564,565
0,1
13,14
36,43
4,5
7,18
24,20
618,278
4,5
16,17
7,8
36,37
618,278
24,20
19,20
0,84
36,43
564,565
7,18
24,20
564,565
97,98
19,20
13,14
36,37
4,5
564,565
13,14
7,34
564,565
567,112
4,5
7,60
16,17
0,42
7,8
567,112
628,146
564,565
101,102
7,40
76,77
24,20
7,60
7,8
24,20
13,14
19,20
0,1
7,79
564,565
618,278
19,20
4,5
24,20
7,60
629,109
564,565
4,5
19,20
618,278
7,68
6,5
132,83
82,83
630,146
564,565
57,58
567,112
57,58
7,15
564,565
618,278
631,131
13,14
0,1
632,140
7,79
19,20
24,20
564,565
16,17
24,20
7,15
567,112
7,68
564,565
618,278
22,23
24,20
19,20
7,60
564,565
4,5
13,14
24,20
567,112
0,35
4,5
16,17
618,278
7,68
632,58
19,20
7,15
618,278
7,26
27,28
7,40
27,28
13,14
633,211
7,60
618,278
13,14
7,26
618,278
6,5
24,20
36,43
7,40
634,211
635,211
27,28
7,15
618,278
4,5
7,79
4,5
7,40
36,43
7,15
24,20
13,14
64,65
6,5
16,17
636,134
16,17
22,23
637,58
71,638
7,44
636,131
7,15
19,20
639,640
0,84
13,14
24,20
4,5
7,68
0,21
7,15
13,14
4,5
0,31
0,35
7,34
0,21
618,278
7,44
0,31
0,84
618,278
7,38
7,68
0,46
13,14
19,20
7,18
0,42
16,17
19,20
100,23
97,98
99,23
4,5
24,20
22,23
7,79
7,68
0,21
36,43
4,5
0,31
13,14
7,38
7,34
0,46
618,278
7,40
16,17
7,60
24,20
0,42
7,79
36,37
7,34
0,21
36,43
19,20
0,31
7,38
36,37
7,68
13,14
0,46
19,20
627,198
24,20
7,60
16,17
0,31
4,5
7,79
641,642
4,5
7,34
36,37
0,21
4,5
0,42
7,60
13,14
7,38
19,20
19,20
7,68
0,46
36,37
16,17
0,42
7,60
625,643
7,79
644,146
0,21
7,34
24,20
19,20
4,5
19,20
7,60
24,20
56,55
52,53
7,38
625,58
13,14
82,83
36,37
141,142
16,17
7,15
36,43
71,355
4,5
19,20
0,84
7,38
7,44
24,20
0,42
4,5
13,14
24,20
19,20
7,79
101,102
76,77
0,21
645,146
24,20
19,20
7,68
16,17
71,147
97,98
100,23
169,170
4,5
7,26
24,20
36,37
22,23
36,43
13,14
0,31
19,20
6,5
7,79
169,170
16,17
0,21
4,5
169,170
7,40
24,20
646,643
169,647
22,23
7,60
19,20
169,285
24,20
0,1
27,28
27,28
169,286
11,648
24,20
27,28
24,20
7,44
169,287
24,20
13,14
169,649
650,278
7,26
0,84
27,28
16,17
4,5
7,34
19,20
36,37
7,15
2,651
19,20
36,43
7,79
11,652
24,20
97,98
99,23
100,23
7,44
13,14
4,5
0,42
0,1
13,14
7,8
19,20
24,20
4,5
7,34
0,21
16,17
22,23
36,37
7,18
7,15
6,5
36,43
24,20
7,79
4,5
11,653
7,44
19,20
4,5
82,83
13,14
0,31
11,654
36,43
0,84
7,8
16,17
7,79
71,655
22,23
0,21
19,20
656,146
7,68
24,20
24,20
7,60
0,84
19,20
11,657
4,5
658,140
13,14
0,21
11,659
13,14
409,353
7,26
7,60
11,660
16,17
71,273
7,44
19,20
11,661
0,31
36,37
11,662
7,60
663,58
13,14
19,20
7,44
11,664
4,5
7,68
0,42
13,14
4,5
6,5
19,20
0,84
24,20
0,46
7,18
7,15
4,5
19,20
13,14
11,665
7,44
13,14
24,20
11,666
7,68
16,17
0,84
22,23
11,667
0,46
4,5
668,146
11,669
24,20
7,18
670,146
36,37
4,5
24,20
7,38
36,43
11,671
658,146
0,21
11,672
567,112
13,14
7,44
24,20
0,42
7,40
11,673
36,37
16,17
22,23
19,20
7,38
0,46
11,674
567,112
0,31
11,675
361,676
11,675
36,37
19,20
24,20
13,14
95,96
0,21
19,20
24,20
7,40
16,17
0,31
4,5
73,677
7,15
678,679
36,37
36,43
24,20
19,20
7,44
244,245
27,28
680,681
7,8
0,84
13,14
244,246
658,682
244,246
16,17
7,44
0,42
4,5
27,28
22,23
99,23
97,98
100,23
683,219
71,209
680,88
7,79
567,112
684,685
0,21
686,685
687,298
688,689
301,126
305,126
125,126
690,298
308,126
22,23
76,77
101,102
691,146
13,14
36,37
4,5
36,43
16,17
4,5
19,20
7,18
73,692
6,5
36,37
311,312
693,146
596,112
